tic_id,label,status,n_after_clip,n_detrended,trend_amp_ppt,detrend_flag,n_gaps,window_used,rms_clean_ppt
252537013,Other,ok,12869,12869,3.52,False,3,0.5,1.51
298073824,Other,ok,18393,18393,1.34,False,5,0.5,0.611
350445771,Other,ok,18276,18276,60.04,True,48,0.5,5.638
113919944,Other,ok,16957,16957,44.91,True,16,0.5,4.387
37084932,Other,ok,17457,17457,13.17,False,3,0.5,0.968
296898634,Other,ok,19474,19474,30.76,True,3,0.5,5.114
112395568,Other,ok,18196,18196,19.1,False,23,0.5,0.938
268914377,Other,ok,17371,17371,34.89,True,4,0.5,12.345
274942910,Other,ok,19025,19025,6.61,False,3,0.5,1.161
271042173,Other,ok,17898,17898,10.16,False,7,0.5,2.807
459997997,Other,ok,17343,17343,7.87,False,3,0.5,1.591
286561122,Other,ok,15660,15660,7.8,False,46,0.5,1.232
114103134,Other,ok,17765,17765,15.04,False,3,0.5,2.792
37575651,Other,ok,13316,13316,3.01,False,8,0.5,0.646
126733133,Other,ok,13160,13160,12.97,False,10,0.5,1.187
373614579,Other,ok,3471,3471,44.62,True,12,0.5,4.625
306547699,Other,ok,3449,3449,51.94,True,2,0.5,13.371
125894957,Other,ok,3463,3463,8.38,False,1,0.5,1.492
304025075,Other,ok,3075,3075,13.1,False,4,0.5,5.81
48476907,Other,ok,2404,2404,3.15,False,34,0.5,0.575
278968371,Other,ok,3915,3915,151.2,True,1,0.5,8.11
352924930,Other,ok,3341,3341,3.39,False,1,0.5,0.736
341805908,Other,ok,3863,3863,10.83,False,1,0.5,1.072
